iter	Passed	Remaining
881	392093	52456
882	392450	52000
883	392799	51543
884	393288	51105
885	393719	50659
886	394138	50211
887	394603	49769
888	394961	49314
889	395321	48860
890	395798	48419
891	396219	47972
892	396652	47527
893	397185	47093
894	397577	46643
895	398038	46200
896	398486	45757
897	398867	45305
898	399279	44857
899	399635	44403
900	400112	43963
901	400479	43511
902	400898	43064
903	401346	42620
904	401692	42166
905	402032	41711
906	402449	41265
907	402848	40817
908	403241	40368
909	403647	39921
910	404062	39474
911	404559	39036
912	404927	38585
913	405291	38134
914	405687	37686
915	406144	37244
916	406477	36791
917	406833	36340
918	407219	35892
919	407615	35444
920	408035	34999
921	408494	34558
922	408848	34107
923	409269	33662
924	409679	33217
925	410067	32769
926	410456	32322
927	410788	31871
928	411237	31429
929	411579	30979
930	411949	30531
931	412386	30088
932	412748	29640
933	413170	29196
934	413523	28747
935	413944	28303
936	414373	27860
937	414825	27419
938	415176	26970
939	415547	26524
940	415913	26077
941	416294	25631
942	416668	25185
943	417068	24741
944	417462	24296
945	417850	23851
946	418338	23412
947	418735	22968
948	419194	22527
949	419643	22086
950	419970	21638
951	420397	21196
952	420834	20754
953	421303	20314
954	421728	19872
955	422152	19429
956	422549	18986
957	422994	18544
958	423405	18101
959	423826	17659
960	424199	17215
961	424654	16774
962	425012	16329
963	425465	15888
964	425898	15447
965	426295	15004
966	426706	14561
967	427096	14118
968	427480	13675
969	427914	13234
970	428356	12793
971	428764	12351
972	429160	11908
973	429571	11467
974	429982	11025
975	430422	10584
976	430887	10143
977	431350	9703
978	431790	9262
979	432195	8820
980	432602	8378
981	432956	7936
982	433327	7493
983	433715	7052
984	434052	6609
985	434439	6168
986	434854	5727
987	435209	5285
988	435610	4845
989	435963	4403
990	436414	3963
991	436866	3523
992	437175	3081
993	437552	2641
994	437994	2200
995	438435	1760
996	438887	1320
997	439310	880
998	439741	440
999	440138	0
