iter	Passed	Remaining
976	372538	8770
977	372872	8387
978	373189	8005
979	373537	7623
980	373872	7241
981	374243	6859
982	374593	6478
983	374934	6096
984	375292	5715
985	375618	5333
986	375952	4951
987	376280	4570
988	376618	4188
989	376922	3807
990	377289	3426
991	377643	3045
992	377992	2664
993	378332	2283
994	378639	1902
995	378952	1521
996	379304	1141
997	379628	760
998	380035	380
999	380426	0
